Id,Title,Body,ImageURLs
78689138,Hosting A native PHP MySQL Project on vercel,"I have tried many things and even tried moving all my php files to an api folder. This is what my current project structure looks like:  and the vercel.json I used is {     ""functions"": {         ""api/**/*.php"": {             ""runtime"": ""vercel-php@0.7.1""         }     }, ""routes"": [     {         ""src"": ""/dist/(.*)"",         ""dest"": ""/dist/$1""     },     {         ""src"": ""/bower_components/(.*)"",         ""dest"": ""/bower_components/$1""     },     {         ""src"": ""/js/(.*)"",         ""dest"": ""/js/$1""     },     {         ""src"": ""/(.*)"",         ""dest"": ""api/index.php""     } ] }  vercel shows deployment success but the page doesn't work  Does someone know where I am going wrong??? ","['https://i.sstatic.net/UmhZ9zHE.png', 'https://i.sstatic.net/tCbdO86y.png']"
78678692,"Reading UTF-8 texts in PowerPoint via VBA, for export to another software","I want to read all text in a PowerPoint file using VBA, and write them to external file (or some other way) to use in another Software. I wrote this code: Sub ReadFileText()     On Error Resume Next     Dim shp As Shape          For Each sld In ActivePresentation.Slides         For Each shp In sld.Shapes              If shp.TextFrame.HasText Then                 MsgBox shp.TextFrame.TextRange.Text                 ' if text was read successfully, I can save it to a text or json file.              End If         Next shp     Next sld End Sub  Some shapes includes non-ASCII (UTF-8) characters in text. VBA returns them as ""?"" character! How can I read shape text as UTF-8 string?  ",['https://i.sstatic.net/9nF6vUFK.png']
78674751,Typescript interface disjunction gives incorrect error,"I have this function export async function getPageProps(     slug: string,     variables: {         [key: string]: any;     } = {},     appendResourcesToPage: Array<AppendedResource> = [], ): Promise<GetStaticPropsResult<PageProps>>  { ... }   These interfaces: export interface PageProps {     pageData: any;     menus: {         headerMenu: MenuItem[];         footerMenu: MenuItem[];         drawerMenu: MenuItem[];         drawerFooterMenu: MenuItem[];     };     siteOptions: SiteOptions;     globalSettings: GlobalSettingsQuery | null; }  /**  * The return type of `getStaticProps`.  * @link https://nextjs.org/docs/api-reference/data-fetching/get-static-props#getstaticprops-return-values  */ export type GetStaticPropsResult<Props> =   | { props: Props; revalidate?: number | boolean }   | { redirect: Redirect; revalidate?: number | boolean }   | { notFound: true; revalidate?: number | boolean }  However when I try to use it, I get an error: const commonSiteProps = await getPageProps('', {}, []) as GetStaticPropsResult<PageProps>; const { siteOptions, globalSettings, menus } = commonSiteProps?.props || {};  And I can't figure out why TS2339: Property props does not exist on type GetStaticPropsResult<PageProps> Error remains even after: const { siteOptions, globalSettings, menus } = (commonSiteProps as GetStaticPropsResult<PageProps>)?.props || {};   EDIT: This fixes the issue, although it's not as nice as I had hoped const commonSiteProps = await getPageProps('', {}, []); let siteOptions, globalSettings, menus; if (commonSiteProps && 'props' in commonSiteProps) {     siteOptions = commonSiteProps?.props.siteOptions;     globalSettings = commonSiteProps?.props.globalSettings;     menus = commonSiteProps?.props.menus; } if (!siteOptions || !globalSettings || !menus) {     throw new Error('Invalid page props.'); }  ",['https://i.sstatic.net/9QE26tpK.png']
78673647,"Http-only cookie in response header from backend, but not being stored in client browser","I have a fullstack app made up of a React frontend and a FastAPI (python) backend, both of which are currently being served locally on 127.0.0.1 (localhost). BACKEND: Here is the code for my backend server, with CORSMiddleware and SessionMiddleware configured: from fastapi import FastAPI, HTTPException, status, Request from fastapi.middleware.cors import CORSMiddleware from starlette.middleware.sessions import SessionMiddleware import spotipy from spotipy.oauth2 import SpotifyOAuth  app = FastAPI()  # generated via cmd: 'openssl rand -hex 32' SECRET_KEY = ""XXX""  origins = [     ""http://localhost"",     ""https://localhost"",     ""http://localhost:3000"",     ""https://localhost:3000"",     ""http://127.0.0.1"",     ""https://127.0.0.1"",     ""http://127.0.0.1:3000"",     ""https://127.0.0.1:3000"", ]  # https://www.starlette.io/middleware/#corsmiddleware app.add_middleware(     CORSMiddleware,     allow_origins=origins,     allow_credentials=True,     allow_methods=[""*""],     allow_headers=[""*""], )  # https://www.starlette.io/middleware/#sessionmiddleware app.add_middleware(     SessionMiddleware,     secret_key=SECRET_KEY,     https_only=True,     max_age=3600,  # 3600s = 1hr, the life of spotify access token     same_site=""none"", )  CLIENT_ID = ""YYYY"" CLIENT_SECRET = ""ZZZ"" OAUTH_REDIRECT_URI = ""http://127.0.0.1:3000/"" SCOPE = ""playlist-read-private playlist-read-collaborative user-read-private user-read-email""  # Docs: https://spotipy.readthedocs.io/en/2.24.0/#module-spotipy.oauth2 sp_oauth = SpotifyOAuth(client_id=CLIENT_ID, client_secret=CLIENT_SECRET, redirect_uri=OAUTH_REDIRECT_URI, scope=SCOPE)  @app.post(""/spotify-auth"", tags=[""auth""]) def exchange_token(code: str, request: Request):     # Exchanges token, with check_cache=False to ensure new users can be registered     token_info = sp_oauth.get_access_token(code=code, check_cache=False)     print(token_info)     # https://www.starlette.io/middleware/#sessionmiddleware     request.session[""access_token""] = token_info[""access_token""]     request.session[""refresh_token""] = token_info[""refresh_token""]     return {""tokenSaved"": True}  In other endpoints, i.e. /user, when I try to access request.session.get(""access_token""), I get absolutely nothing back. FRONTEND: here is the axios POST request from my frontend (react/typescript) that will hit the /spotify-auth endpoint on my backend: const exchangeSpotifyAuthToken = async (     code: string, ): Promise<AccessTokenReponse> => {     const searchParams = new URLSearchParams();     searchParams.append(""code"", code);     const response = await axios.post(         `${API_URL_BASE}/spotify-auth?` + searchParams.toString(),         { withCredentials: true },     );     return response.data; };  But as I said, my attempts to use the access_token in other routes, which should be accessible via request.session.get(""access_token"") all fail. Each of my axios requests also include this { withCredentials: true } config, so that shouldn't be the problem. THINGS I'VE TRIED: I've seen a lot of CORS related posts regarding this issue, and I think I have implemented the requirements as follows:  CORSMiddleware allowed origins on backend configured to receive requests from my frontend (127.0.0.1:3000) allow_credentials=True on backend Frontend and backend located at same domain: 127.0.0.1 requests from frontend configured with withCredentials: true  BROWSER TOOLS: I also checked the browser tools Network tab and saw that my session was being correctly recorded following my POST request to login/authenticate:  But any followup requests to my backend do not contain this session cookie, so they promptly fail my authentication check:  Shouldn't my session cookie show up in those request headers so that my backend can retrieve them? What am I doing wrong? Thanks! ","['https://i.sstatic.net/lXkm8i9F.png', 'https://i.sstatic.net/lGcu2ov9.png']"
78672889,Qt Creator design tab is greyed out in QML projects,I don't know if this is the expected behavior. I created a new Qt Quick application project. It shows up a main.qml and main.cpp file. The problem is the design tab is greyed out.  ,['https://i.sstatic.net/oJO0UUzA.png']
78672616,Why does Justify Content center is not working in this case?,"I want to center these items using flex box justify content = center but it's not working HTML: <div class=""row justify-content-center mt-5 gy-5"">           <div class=""col-md-2"">             <img width=""70"" class=""img-fluid"" src=""img/img_6.svg"" alt>           </div>           <div class=""col-md-2"">             <img width=""70"" class=""img-fluid"" src=""img/img_7.svg"" alt>           </div>           <div class=""col-md-2"">             <img width=""70"" class=""img-fluid"" src=""img/img_8.svg"" alt>           </div> </div>  CSS: .justify-content-center {     justify-content: center !important; } .row {     --bs-gutter-x: 1.5rem;     --bs-gutter-y: 0;     display: flex; }  Only text-align: center is working!  ",['https://i.sstatic.net/531yzoCH.jpg']
78671998,i cannot import FormsModule in task.component.ts file under task folder in angular 18.0.4,"i cannot import FormsModule in task.component.ts file under task folder .Due to unable to solve error as ""Can't bind to 'ngModel' since it isn't a known property of 'input'.ngtsc(-998002)"" .My code is <input type=""text"" class=""form-control"" [(ngModel)]=""newTask.description""> in task.component.html file.Pls help to resolve this error.  ",['https://i.sstatic.net/826fLMZT.jpg']
78669597,Django can`t find image,"When i run my Django app with Daphne daphne -e ssl:8000:privateKey=ssl/privkey.pem:certKey=ssl/cert.pem website.asgi:application`  I get WARNING  Not Found: /media/images/lcg.jpg  I set all setiings by guids and documantation settings.py MEDIA_URL = '/media/' MEDIA_ROOT = os.path.join(BASE_DIR, 'media')  urls.py urlpatterns = [     path('admin/', admin.site.urls),     path('', include('shop.urls')), ] + static(settings.STATIC_URL, document_root=settings.STATIC_ROOT) + static(settings.MEDIA_URL, document_root=settings.MEDIA_ROOT)  index.html {% for product in column1 %}   <div class=""item"">     {% if product.img %}       <img src=""{{ MEDIA_URL }}{{ product.img }}"" alt=""{{ product.name }}"" class=""product-img"">     {% endif %}  tried add {% get_media_prefix as MEDIA_URL %} but nothing changed where product.img from DB - images\filename.png and i have this structure  I had similar problen with static files but ChatGPT advised to use whitenoise and it solved problem but not with img ",['https://i.sstatic.net/VEcGmxth.png']
78669581,AWS API Gateway returning CORS error even if enabled,"I'm calling an API to my AWS API Gateway and I'm getting a CORS error, not sure why as I have all the CORS parameters enabled. The error from the browser console:  The code:  The AWS API Gateway configuration:  Any idea how to work it out? I used to do this for a living and still can't figure it out - Many tanks in advance!! Tried everything I came through, expecting something I missed ","['https://i.sstatic.net/EDinwvQZ.png', 'https://i.sstatic.net/HPf39nOy.png', 'https://i.sstatic.net/2YVzQNM6.png']"
78669479,Unmatched parenthesis that is not supposed to be a literal,"I am making a stylelint configuration file (uses javascript). We use strings for regular expressions. I have [“^(\[a-z\]\[a-zA-Z0-9\]+)|(abc-+(.+))$”,{“message"":""(selector) =\> Expected class selector \""${selector}\"" to be lowerCamelCase or begin with abc""}]   as a parameter of a rule. It is supposed to make sure a variable is in lowerCamelCase or that it starts with abc- and continues on after that. My concern is with the matching part. It works in regexr (after removing beginning \. that is actually accounted for with ^ in the javascript code) (test cases reflect usage)  I also tested regexr with removing the ^ and results were the same. I did have to use many grouping parantheses and I think this is where the problems arise in javascript. The error I receive is  stderr: List(SyntaxError: Invalid regular expression: /[“^([a-z][a-zA-Z0-9]+)|(abc-+(.+))$”,{“message"":""(selector) => Expected class selector ""${selector}"" to be lowerCamelCase or begin with abc""}]/: Unmatched ')',     at new RegExp (<anonymous>)  I see a lot about unmatched paranthesis errors coming up when they are supposed to be string literals. My problem is that it's NOT supposed to be a string literal, just a grouping tool. I don't want to escape it, and I can't remove any. I already removed a set of parantheses around the whole thing (which I was already iffy about, since that $ end character needs to apply to both sides of the ""or"" set) when the unmatched paranthesis error first came up. I know that there are no frivolous parantheses here. ",['https://i.sstatic.net/fIk21c6t.png']
78664847,I need some help creating a loop/automatic way of cleaning my data,"I'm quite new to programmin language and I am starting with R in my research predicting dengue desease cases with climatic data. I'm still cleaning my data to work with and this particular one has around 172.855 obs and 17 variables, for each of the 23 files. So I want to keep only the obs. and variables I need to use (which are the date, municipality and quantity of cases registered), but I wanted to create a way to do it automatically so I don't need to keep doing it to all of them, but I didn't quite understand how to do it using a loop from purrr our lapply. Could anyone help me with this? Example of the dataset with cases of infections  What I wrote so far are this 3 lines and they are basically what I need to keep only what I want. (The files names are: dengue00, dengue01, dengue02,...,dengue23) #Load package library(tidyr)  #Reading the file  dengue00 <-read.csv(""DENGBR00.csv"")  #This line is for keeping only the three columns I need out of the 17 the documents have. dengue00 <- subset(dengue00, select = c(1, 3, 8))  #Here is to keep only the municipality I'll use in the obs. dengue00 <- dengue00[deng00$ID_MUNICIP %in% c(3550308),]  #And this one just to simplify the column names  dengue00<- dengue00 %>%   rename(mn = ID_MUNICIP,          dt = DT_NOTIFIC,          uf = SG_UF_NOT)   [The idea is to end up like like this]  Thank you so much for any help. ","['https://i.sstatic.net/F0BcGkoV.png', 'https://i.sstatic.net/TIh0g2Jj.png']"
78660075,How can I change the cwd in a python terminal?,"I've just started coding for a class and I'm trying to get used to VS Code, but I'm having some issues running a python program from the terminal.  I figured out how to change the powershell terminal's cwd to the correct folder that I'm storing my projects in; however when I create a new python terminal, the cwd is not correct. I've already changed the ""Terminal > integrated Cwd"" setting to the correct file directory and I've tried changing the ""Python > Testing: Cwd""; but opening a new python terminal still displays the wrong Cwd. I read that a solution to a similar issue was to edit a .JSON file for VS code; but I'm fairly certain that this is a user issue as I just don't know what I'm doing in VS Code yet.  Any help would be much appreciated! Current Cwds for Powershell and Python Terminals  ",['https://i.sstatic.net/IxbEQY1W.jpg']
78654946,Get percentages in query," Thank you for your assistance. I can't get it to divide? Is it because its the Modulo operator? I've reviewed and scoured the web for a bit, but it just doesn't seem to be working. How do I get a percentage in SQL Server. I attempting to divide, but it just spits out nothing. ",['https://i.sstatic.net/65ZES0TB.png']
78653532,Does Rust's move semantics involve copying data?,"I am curious about the ""move semantics"" in Rust and whether data is copied when ownership is transferred. Here's some demo code: #[derive(Debug)] struct Foo {     name: i32,     age: i32, }  fn main() {     let foo = Foo { name: 111, age: 1 };      let ptr_foo = std::ptr::addr_of!(foo);     println!(""Address of foo: {:p}"", ptr_foo);      let bar = foo;      let ptr_bar = std::ptr::addr_of!(bar);     println!(""Address of bar: {:p}"", ptr_bar); }  I initially thought that ""there's a variable foo, and after a move, we simply renamed it to bar"", thereby avoiding the need to copy its corresponding data. To investigate further, I used the debug functionality in VSCode with a plugin called ""Hex Editor"" and found that both foo and bar ( memory addresses 0x7fffffffd7d8 and 0x7fffffffd828), containing identical data (6F 00 00 00 01 00 00 00).  Does this indicate that Rust actually performs a copy operation even during a move, such as copying a struct in this case? Could this behavior vary depending on whether it's in release mode? ",['https://i.sstatic.net/LR3UEHEd.png']
