Id,Score,ViewCount,ImageUrl,AltText,NewBody
78689590,-1,29,['https://i.sstatic.net/z7vbOP5n.png'],,
78689138,-2,35,"['https://i.sstatic.net/UmhZ9zHE.png', ' https://i.sstatic.net/tCbdO86y.png']",,
78687535,0,48,['https://i.sstatic.net/V0RSm2ft.png'],,
78687311,2,78,"['https://i.sstatic.net/pz53bNkf.png', ' https://i.sstatic.net/YjPWCwgx.png', ' https://i.sstatic.net/gwBrQwEI.png', ' https://i.sstatic.net/tCwuE71y.png']",,
78687130,0,62,"['https://i.sstatic.net/mBPkBxDs.jpg', ' https://i.sstatic.net/Z4iey9vm.png']",,10 20 30 40 10 20 30 40 50 60
78686959,-1,13,['https://i.sstatic.net/4h7JKXeL.png'],,
78686193,0,17,['https://i.sstatic.net/ZEXBaSmS.png'],,
78685634,1,62,['https://i.sstatic.net/65KblAeB.png'],,
78685623,0,13,"['https://i.sstatic.net/AJ90rzm8.png', ' https://i.sstatic.net/JfQcEJ92.png']",,
78685557,-1,21,"['https://i.sstatic.net/7oBMzHre.png', ' https://i.sstatic.net/VKmYj7th.png']",,
78684637,-1,42,['https://i.sstatic.net/MsJaEzpB.png'],,
78683677,0,40,['https://i.sstatic.net/Ol5LbcA1.png'],,
78683338,0,52,['https://i.sstatic.net/pzqkNIPf.png'],,
78682389,0,38,"['https://i.sstatic.net/BHllpFDz.png', ' https://i.sstatic.net/QcEcgLnZ.png']",,
78682258,0,50,['https://i.sstatic.net/6XLIxdBM.png'],,
78682051,-1,54,"['https://i.sstatic.net/jafOmJFd.png', ' https://i.sstatic.net/0bk46paC.png']",,
78681826,-2,43,"['https://i.sstatic.net/bZ3XEIXU.png', ' https://i.sstatic.net/wi9d8rTY.png']",,
78681663,0,24,['https://i.sstatic.net/364WtYlD.png'],,
78680283,0,32,['https://i.sstatic.net/ljR4EP9F.png'],,
78679014,-1,54,['https://i.sstatic.net/kGFM0Mb8.png'],,
78678692,0,67,['https://i.sstatic.net/9nF6vUFK.png'],,
78678540,0,16,['https://i.sstatic.net/bnX7vtUr.png'],,
78678315,0,28,['https://i.sstatic.net/65ewNoxB.png'],,
78678040,0,45,['https://i.sstatic.net/7MSzOMeK.png'],,
78677263,1,50,"['https://i.sstatic.net/yroZjSB0.png', ' https://i.sstatic.net/cw8IGNIg.png']",,
78677249,0,25,['https://i.sstatic.net/AJ4mSP78.png'],,
78676658,0,24,['https://i.sstatic.net/Ma7A40pB.png'],,
78676575,0,47,['https://i.sstatic.net/X4qM8Bcg.png'],,
78676570,-3,24,['https://i.sstatic.net/BHtZE3Rz.png'],,
78676484,0,31,['https://i.sstatic.net/O9nEQHR1.png'],,
78676453,0,22,['https://i.sstatic.net/Ol0rqxU1.jpg'],,
78675951,0,19,"['https://i.sstatic.net/Fy5aUvBV.png', ' https://i.sstatic.net/wQ8rMZY8.png']",,
78675656,0,27,['https://i.sstatic.net/B6UPUQzu.png'],,
78675591,0,64,['https://i.sstatic.net/kpU6tPb8.png'],,
78675245,0,34,['https://i.sstatic.net/4Z2f1TLj.jpg'],,
78675220,0,30,['https://i.sstatic.net/6HNPZfCB.png'],,
78675050,0,27,"['https://i.sstatic.net/Daa10c34.png', ' https://i.sstatic.net/AaUUlP8J.png']",,
78674751,1,27,['https://i.sstatic.net/9QE26tpK.png'],,
78673647,0,46,"['https://i.sstatic.net/lXkm8i9F.png', ' https://i.sstatic.net/lGcu2ov9.png']",,
78673306,4,867,['https://i.sstatic.net/bmKpg1MU.png'],,
78672933,0,26,"['https://i.sstatic.net/cEa59MgY.png', ' https://i.sstatic.net/82mYlRoT.png']",,
78672889,-1,36,['https://i.sstatic.net/oJO0UUzA.png'],,
